timestamp,open,high,low,close,volume
2024-03-28 19:00:00,99.71,99.71,99.6806,99.6806,928
2024-03-28 19:15:00,99.68,99.68,99.68,99.68,199
2024-03-28 19:20:00,99.6795,99.68,99.6795,99.68,918
2024-03-28 19:45:00,99.7,99.7,99.7,99.7,624
2024-03-28 19:50:00,99.7,99.7,99.7,99.7,590
2024-03-28 19:55:00,99.7,99.71,99.7,99.71,872
2024-04-01 13:45:00,99.45,99.45,99.45,99.45,972
2024-04-01 13:50:00,99.465,99.465,99.44,99.44,2103
2024-04-01 14:00:00,99.44,99.44,99.44,99.44,8558
2024-04-01 14:55:00,99.1301,99.1301,99.1301,99.1301,2603
2024-04-01 15:40:00,99.03,99.03,99.03,99.03,935
2024-04-01 15:50:00,99.04,99.04,99.035,99.035,1718
2024-04-01 15:55:00,99.01,99.01,99.01,99.01,126
2024-04-01 16:10:00,99.085,99.085,99.085,99.085,452
2024-04-01 16:15:00,99.05,99.05,99.04,99.04,469
2024-04-01 16:20:00,99.065,99.065,99.055,99.055,246
2024-04-01 17:00:00,99.07,99.07,99.07,99.07,16043
2024-04-01 17:05:00,99.06,99.06,99.05,99.06,15445
2024-04-01 17:10:00,99.0794,99.0794,99.0794,99.0794,325
2024-04-01 18:20:00,99.1,99.12,99.1,99.12,5582
2024-04-01 18:30:00,99.1,99.1,99.1,99.1,6002
2024-04-01 19:00:00,99.105,99.105,99.105,99.105,463
2024-04-01 19:10:00,99.1,99.1,99.1,99.1,204
2024-04-01 19:25:00,99.1,99.1001,99.1,99.1001,240
2024-04-01 19:45:00,99.1,99.1,99.1,99.1,2387
2024-04-01 19:55:00,99.1,99.11,99.1,99.11,3780
2024-04-02 13:30:00,99.24,99.24,99.24,99.24,914
2024-04-02 13:50:00,99.31,99.31,99.31,99.31,708
2024-04-02 14:15:00,99.37,99.38,99.37,99.38,318
2024-04-02 14:25:00,99.44,99.44,99.44,99.44,205
2024-04-02 14:35:00,99.4173,99.4173,99.4,99.4,316
2024-04-02 14:50:00,99.36,99.36,99.36,99.36,258
2024-04-02 15:00:00,99.34,99.34,99.34,99.34,637
2024-04-02 15:15:00,99.37,99.37,99.37,99.37,398
2024-04-02 15:20:00,99.37,99.37,99.37,99.37,310
2024-04-02 15:35:00,99.36,99.36,99.345,99.345,1116
2024-04-02 15:50:00,99.37,99.37,99.37,99.37,165
2024-04-02 16:05:00,99.34,99.34,99.34,99.34,208
2024-04-02 16:35:00,99.3401,99.3401,99.3401,99.3401,371
2024-04-02 16:50:00,99.3577,99.3577,99.3577,99.3577,886
2024-04-02 18:25:00,99.31,99.31,99.31,99.31,418
2024-04-02 18:40:00,99.3035,99.3035,99.3035,99.3035,181
2024-04-02 18:50:00,99.31,99.3151,99.31,99.3151,200
2024-04-02 19:30:00,99.29,99.29,99.29,99.29,1701
2024-04-02 19:45:00,99.33,99.33,99.33,99.33,401
2024-04-02 19:50:00,99.33,99.34,99.33,99.34,367
2024-04-02 19:55:00,99.33,99.37,99.33,99.37,111
2024-04-03 14:00:00,99.775,99.775,99.775,99.775,1232
2024-04-03 14:15:00,99.7299,99.7299,99.7299,99.7299,105
2024-04-03 14:20:00,99.73,99.73,99.73,99.73,375
2024-04-03 14:45:00,99.85,99.85,99.85,99.85,157
2024-04-03 14:50:00,99.83,99.83,99.83,99.83,119
2024-04-03 15:00:00,99.85,99.85,99.85,99.85,113
2024-04-03 15:10:00,99.8799,99.88,99.8799,99.88,606
2024-04-03 15:15:00,99.88,99.88,99.88,99.88,540
2024-04-03 15:20:00,99.889,99.9388,99.889,99.9388,326
2024-04-03 15:25:00,99.94,99.94,99.94,99.94,200
2024-04-03 15:30:00,99.93,99.93,99.93,99.93,202
2024-04-03 15:35:00,99.919,99.919,99.919,99.919,213
2024-04-03 15:45:00,99.895,99.895,99.895,99.895,216
2024-04-03 16:00:00,99.89,99.89,99.89,99.89,182
2024-04-03 16:20:00,99.9397,99.9397,99.9397,99.9397,550
2024-04-03 16:50:00,99.945,99.945,99.945,99.945,804
2024-04-03 17:10:00,99.9399,99.9399,99.9399,99.9399,210
2024-04-03 17:50:00,99.95,99.96,99.95,99.96,631
2024-04-03 18:10:00,99.98,99.9999,99.98,99.9999,339
2024-04-03 18:15:00,99.971,99.971,99.971,99.971,697
2024-04-03 18:25:00,99.99,99.99,99.99,99.99,2401
2024-04-03 18:35:00,99.96,99.96,99.96,99.96,110
2024-04-03 18:40:00,99.96,99.96,99.96,99.96,251
2024-04-03 19:05:00,99.98,99.99,99.97,99.99,187405
2024-04-03 19:10:00,99.98,99.98,99.96,99.96,1006
2024-04-03 19:15:00,99.96,99.96,99.96,99.96,322
2024-04-03 19:45:00,99.98,99.98,99.98,99.98,745
2024-04-03 19:55:00,99.9978,100.02,99.99,100.02,840
2024-04-04 13:30:00,100.29,100.29,100.29,100.29,361
2024-04-04 13:35:00,100.3293,100.3293,100.3293,100.3293,271
2024-04-04 13:40:00,100.337,100.35,100.337,100.35,1075
2024-04-04 13:45:00,100.37,100.37,100.37,100.37,603
2024-04-04 13:50:00,100.345,100.345,100.345,100.345,127
2024-04-04 14:00:00,100.37,100.37,100.37,100.37,3414
2024-04-04 14:15:00,100.34,100.34,100.34,100.34,110
2024-04-04 14:45:00,100.35,100.35,100.34,100.34,285
2024-04-04 14:55:00,100.31,100.31,100.31,100.31,200
2024-04-04 15:05:00,100.3,100.3,100.3,100.3,595
2024-04-04 15:40:00,100.3,100.3,100.3,100.3,334
2024-04-04 15:45:00,100.2999,100.2999,100.2999,100.2999,100
2024-04-04 16:10:00,100.29,100.29,100.29,100.29,203
2024-04-04 16:20:00,100.27,100.27,100.27,100.27,101
2024-04-04 16:50:00,100.2331,100.2331,100.2331,100.2331,100
2024-04-04 17:50:00,100.235,100.235,100.235,100.235,135
2024-04-04 18:15:00,100.19,100.22,100.19,100.22,19702
2024-04-04 18:20:00,100.2,100.2,100.2,100.2,4401
2024-04-04 18:25:00,100.22,100.22,100.22,100.22,20409
2024-04-04 19:00:00,100.1485,100.15,100.14,100.14,1886
2024-04-04 19:05:00,100.1301,100.1301,100.1301,100.1301,807
2024-04-04 19:25:00,100.0708,100.0708,100.0708,100.0708,213
2024-04-04 19:35:00,100.03,100.03,100.03,100.03,358
2024-04-04 19:45:00,100.05,100.05,100.05,100.05,617
2024-04-04 19:55:00,100.02,100.05,100.02,100.03,2925
2024-04-05 13:30:00,99.72,99.72,99.71,99.71,1879
2024-04-05 13:45:00,99.65,99.65,99.65,99.65,313
2024-04-05 13:50:00,99.68,99.68,99.68,99.68,105
2024-04-05 14:10:00,99.8,99.8,99.8,99.8,585
2024-04-05 15:00:00,99.85,99.85,99.85,99.85,321
2024-04-05 15:25:00,99.98,99.98,99.98,99.98,1430
2024-04-05 16:15:00,100.0651,100.0651,100.0651,100.0651,1107
2024-04-05 16:35:00,100.03,100.03,100.03,100.03,111
2024-04-05 16:55:00,100.015,100.015,100.015,100.015,401
2024-04-05 17:10:00,100.01,100.01,100.01,100.01,1395
2024-04-05 17:30:00,100.04,100.04,100.04,100.04,214
2024-04-05 17:55:00,100.0003,100.0003,100.0003,100.0003,162
2024-04-05 18:40:00,100.03,100.03,100.03,100.03,452
2024-04-05 18:55:00,100.0,100.01,100.0,100.01,202
2024-04-05 19:00:00,100.01,100.01,100.0,100.0,2300
2024-04-05 19:55:00,99.975,100.02,99.975,100.02,1546
2024-04-08 13:30:00,100.11,100.11,100.11,100.11,1208
2024-04-08 13:40:00,100.16,100.16,100.16,100.16,449
2024-04-08 14:10:00,100.1301,100.1301,100.1301,100.1301,997
2024-04-08 14:20:00,100.12,100.1201,100.12,100.1201,283
2024-04-08 15:00:00,100.19,100.19,100.19,100.19,138
2024-04-08 15:15:00,100.19,100.19,100.19,100.19,190
2024-04-08 15:55:00,100.19,100.19,100.19,100.19,566
2024-04-08 18:15:00,100.24,100.24,100.24,100.24,2171
2024-04-08 19:00:00,100.23,100.235,100.23,100.235,2693
2024-04-08 19:15:00,100.225,100.225,100.225,100.225,804
2024-04-08 19:55:00,100.21,100.24,100.21,100.24,2347
2024-04-09 13:30:00,100.46,100.46,100.46,100.46,2032
2024-04-09 14:10:00,100.45,100.4587,100.45,100.4587,651
2024-04-09 14:15:00,100.4101,100.4101,100.4101,100.4101,104
2024-04-09 14:40:00,100.29,100.29,100.29,100.29,352
2024-04-09 15:25:00,100.225,100.225,100.225,100.225,2221
2024-04-09 16:10:00,100.2599,100.2599,100.2599,100.2599,271
2024-04-09 16:25:00,100.2401,100.2401,100.2401,100.2401,594
2024-04-09 17:00:00,100.21,100.21,100.21,100.21,137
2024-04-09 18:05:00,100.1806,100.1806,100.1806,100.1806,235
2024-04-09 19:05:00,100.17,100.17,100.17,100.17,1543
2024-04-09 19:30:00,100.2301,100.2301,100.2301,100.2301,707
2024-04-09 19:55:00,100.24,100.24,100.17,100.24,1592
2024-04-10 13:30:00,99.42,99.49,99.42,99.42,2264
2024-04-10 13:35:00,99.41,99.43,99.39,99.39,2532
2024-04-10 13:40:00,99.38,99.39,99.3501,99.3501,3067
2024-04-10 13:50:00,99.2901,99.2901,99.2901,99.2901,524
2024-04-10 14:05:00,99.23,99.35,99.23,99.35,1719
